sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV)
11,13051,LD2,2100,750,9.88889651961471,0.00026377057461577974
11,13052,LD2,2100,750,9.888928399206963,0.00024384597312185628
11,13053,LD2,2100,750,9.888919930476188,0.00020337021628006577
11,13054,LD2,2100,750,9.888897745454546,0.00023352803362577238
11,13055,LD2,2100,750,9.888906999382717,0.00017506976080250558
11,13058,LD2,2100,750,9.888823978034187,0.00024177295989077818
11,13059,LD2,2100,750,9.888825604746716,0.00026131445959042216
11,13060,LD2,2100,750,9.888775746442143,0.00022068414539623007
11,13061,LD2,2100,750,9.888842104709783,0.00023010172557225066
11,13062,LD2,2100,750,9.888970254548191,0.00021724182244080566
11,13063,LD2,2100,750,9.888956475507868,0.000229555367127535
14,13305,LD2,1470,750,5.9826809873333335,0.00015122591136808888
14,13306,LD2,1470,750,5.982725988505975,0.00022371366106865859
14,13307,LD2,1470,750,5.982761260728242,0.0003308881002664538
14,13308,LD2,1470,750,5.982658272138613,0.0001860969076439508
14,13309,LD2,1470,750,5.982725384516129,0.00029606247988802264
14,13314,LD2,1470,750,5.982840749559117,0.0002569808514910395
14,13315,LD2,1470,750,5.983046644047619,0.00035236475532015476
14,13316,LD2,1470,750,5.983218700437158,0.00033324212641683824
14,13317,LD2,1470,750,5.9828783938086945,0.00025648839527423844
14,13318,LD2,1470,750,5.982928593857615,0.0002700160619853259
14,13319,LD2,1470,750,5.982992085041736,0.00029049858503343677
14,13322,LD2,1470,750,5.9827301354033775,0.0003831646220674049
14,13323,LD2,1470,750,5.982746981515151,0.00039435466864173624
14,13324,LD2,1470,750,5.982743051742737,0.00033692032316171646
14,13325,LD2,1470,750,5.982716102678226,0.0003190741612105153
14,13342,LD2,1470,750,5.982882524669421,0.00034981331460890455
14,13344,LD2,1470,750,5.982802514069767,0.00033911706202007636
14,13353,LD2,1470,750,5.982537702742857,0.00023843354719491037
14,13357,LD2,1470,750,5.982682331940639,0.00040479222656084345
14,13358,LD2,1470,750,5.982526695325671,0.00024826898477627875
14,13359,LD2,1470,750,5.98257016972826,0.00030695739320272977
14,13360,LD2,1470,750,5.982585312247705,0.00031398988415387395
14,13361,LD2,1470,750,5.982591622893938,0.00032137655493813327
14,13362,LD2,1470,750,5.982556192804123,0.00025465099842951456
14,13363,LD2,1470,750,5.982746814390582,0.0004744372505451718
14,13364,LD2,1470,750,5.982880305625001,0.0005120340198722055
14,13368,LD2,1470,750,5.982553877233606,0.00041073087168527446
14,13369,LD2,1470,750,5.982557242352941,0.00041216504440418355
14,13370,LD2,1470,750,5.982489633692308,0.00035349830507287944
14,13371,LD2,1470,750,5.98306006464098,0.0005140692712031238
14,13372,LD2,1470,750,5.982682411896066,0.0005196471602818106
14,13373,LD2,1470,750,5.982520718922717,0.0004336065680205096
14,13381,LD2,1470,750,5.982632812280701,0.00017316501095202837
14,13382,LD2,1470,750,5.982677941436266,0.0002841787944154745
14,13384,LD2,1470,750,5.982685556156522,0.0003349618490978709
14,13385,LD2,1470,750,5.982618854525042,0.00027384650236120267
14,13387,LD2,1470,750,5.982654895877192,0.0003432212095523259
14,13388,LD2,1470,750,5.982673546380471,0.0003689709072376651
14,13389,LD2,1470,750,5.9826563140559434,0.00038627609412558933
